Numer;Data zamówienia;Przewidywana data;Pozycje zamówienia/Produkt/Nazwa;Pozycje zamówienia/Ilość;Pozycje zamówienia/Opcja;Metoda dostawy;Kod pocztowy;Miasto;Suma;Koszt dostawy;Uwagi;Zapłacone;Status;Tagi;Data realizacji;Kupon rabatowy;Faktura produkcyjna;Faktura materac;Faktura transportowa;Klient/Nazwa;Klient/E-mail;Klient/Telefon;Adres dostawy/Ulica
Shoper48105-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;90-001;Łódź;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;;Klient Klaster 6;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper48120-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;90-002;Łódź;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;;Klient Przeplata;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49000-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;20-100;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 1;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49001-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;21-101;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 2;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49002-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;22-102;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 3;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49003-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;23-103;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 4;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49004-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;24-104;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 5;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49005-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;25-105;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 6;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49006-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;26-106;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 7;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49007-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;27-107;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 8;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49008-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;28-108;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 9;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49009-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;29-109;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 10;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49010-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;30-110;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 11;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49011-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;31-111;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 12;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49012-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;32-112;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 13;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49013-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;33-113;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 14;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49014-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;34-114;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 15;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49015-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;35-115;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 16;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49016-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;36-116;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 17;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49017-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;37-117;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 18;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49018-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;38-118;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 19;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49019-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;39-119;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 20;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49020-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;40-120;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 21;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49021-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;41-121;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 22;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49022-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;42-122;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 23;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49023-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;43-123;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 24;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49024-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;44-124;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 25;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49025-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;45-125;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 26;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49026-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;46-126;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 27;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49027-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;47-127;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 28;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49028-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;48-128;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 29;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49029-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;49-129;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 30;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49030-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;50-130;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 31;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49031-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;51-131;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 32;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49032-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;52-132;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 33;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49033-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;53-133;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 34;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49034-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;54-134;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 35;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49035-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;55-135;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 36;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49036-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;56-136;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 37;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49037-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;57-137;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 38;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49038-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;58-138;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 39;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49039-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;59-139;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 40;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49040-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;60-140;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 41;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
Shoper49041-1;2026-02-05;2026-02-05;Łóżko kontynentalne Lea;1;Powierzchnia spania: 160cm x 200cm;SPT Logistics;61-141;Warszawa;2 499,00;149,00;;2 499,00;zrealizowane;;2026-02-05;;FP/1/2026;;307/02/2026/TR ZADBANO;Klient Zad 42;klient@example.com;600100200;ul. Testowa 1
;;;Wysyłka;1;;;;;;;;;;;;;;;;;;;
